identifiant_a,libelle_du_site,caracteristique_du_site,site_acores_de_rattachement,adresse,complement_d_adresse,lieu_dit,code_postal,localite,code_insee,pays,latitude,longitude,numero_de_telephone
17033D,LA ROQUETTE SUR SIAGNE ESAT RP,Relais poste,00824A,1100 AVENUE DE LA REPUBLIQUE,,,06550,LA ROQUETTE SUR SIAGNE,06108,FRANCE,43.5819,6.9461,3631
17034D,ST MAMERT DU GARD LPR RP,Relais poste,05376A,PLACE DE LA POSTE,,,30730,ST MAMERT DU GARD,30281,FRANCE,43.8867,4.1892,3631
17035D,AUBAIS LPAC AP,Agence postale communale,05224A,11 AVENUE EMILE LEONARD,,,30250,AUBAIS,30019,FRANCE,43.7548,4.1481,3631
17036D,VAL AIGOUAL LPAC AP,Agence postale communale,05388A,4 PLACE ELYSEE,,VALLERAUGUE,30570,VAL D AIGOUAL,30339,FRANCE,44.0803,3.6413,3631
17037D,ARMISSAN LPAC AP,Agence postale communale,01607A,18 RUE DE LA MAIRIE,,,11110,ARMISSAN,11014,FRANCE,43.1861,3.0972,3631
17038A,VIRY CHATILLON PROVENCE BP,Bureau de Poste,,25 AVENUE DE PROVENCE,,,91170,VIRY CHATILLON,91687,FRANCE,48.668193,2.361401,3631
17038D,TREBOUL AP,Agence postale communale,04962A,2 RUE PIERRE BROSSOLETTE,,,29100,DOUARNENEZ,29046,FRANCE,48.0963,-4.3446,3631
17039A,RIS ORANGIS ALBERT REMY BP,Bureau de Poste,,54 RUE EDMOND BONTE,,,91130,RIS ORANGIS,91521,FRANCE,48.656694,2.40967,3631
17039D,PLOZEVET AP,Agence postale communale,04962A,14 RUE JULES FERRY,,,29710,PLOZEVET,29215,FRANCE,47.9878,-4.4254,3631
17041D,LA ROQUETTE SUR SIAGNE UTILE LPR RP,Relais poste,00824A,330 BOULEVARD DU 8 MAI,PLACE SAINT GEORGES BAT E,,06550,LA ROQUETTE SUR SIAGNE,06108,FRANCE,43.597,6.952,3631
17043D,VOUHARTE LPA AP,Agence postale communale,02664A,1020 RUE PRINCIPALE,,,16330,VOUHARTE,16419,FRANCE,45.8154,0.0734,3631
17044D,VENDEUVRE DU POITOU LPA AP,Agence postale communale,16287A,15 ROUTE DE LENCLOITRE,,VENDEUVRE DU POITOU,86380,ST MARTIN LA PALLU,86281,FRANCE,46.7372,0.3088,3631
17046A,DRAVEIL MAZIERES RP,Relais poste,16943A,40 RUE DU PORT AUX DAMES,TABAC PRESSE NGUYEN TAN,,91210,DRAVEIL,91201,FRANCE,48.680492,2.401409,3631
17047A,PALAISEAU LOZERE BP,Bureau de Poste,,3 RUE ALFRED DE MUSSET,,,91120,PALAISEAU,91477,FRANCE,48.705494,2.210469,3631
17048A,EPINAY SOUS SENART BP,Bureau de Poste,,4 AVENUE VICTOR HUGO,,,91860,EPINAY SOUS SENART,91215,FRANCE,48.697706,2.524349,3631
